Category,brand,brand_name_weight,full_price,name,sale_price,store,weight
Fresh Vegetable,Organic Radish Sprouts,"['Organic Radish Sprouts', ' 2 OZ (Brands May Vary)']",$2.59, 2 OZ (Brands May Vary),na,Bristol Farms,na
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Onions Shallots', ' 1 Count']",$4.99, Onions Shallots,na,Bristol Farms, 1 Count
Fresh Vegetable,Mushroom Enoki Conventional,"['Mushroom Enoki Conventional', ' 3.5 Ounce (Brands May Vary)']",$1.99, 3.5 Ounce (Brands May Vary),na,Bristol Farms,na
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Cucumbers Hot House', ' 1 Count']",$1.49, Cucumbers Hot House,na,Bristol Farms, 1 Count
Fresh Vegetable,Organic Yellow Squash,"['Organic Yellow Squash', ' 1 Each']",$2.99, 1 Each,na,Bristol Farms,na
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Spinach Bunched Organic', ' 1 Count']",$1.99, Spinach Bunched Organic,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Mushrooms Medium', ' 0.25 lb']",$4.99, Mushrooms Medium,na,Bristol Farms, 0.25 lb
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Peppers Bell Yellow', ' 1 Count']",$4.99, Peppers Bell Yellow,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Sweet Potato', ' 1 Count']",$2.49, Sweet Potato,na,Bristol Farms, 1 Count
Fresh Vegetable,Ready Pac,"['Ready Pac', ' Baby Spinach', ' 6 Ounce']",$2.99, Baby Spinach,na,Bristol Farms, 6 Ounce
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Red Bell Pepper', ' 1 Count']",$4.99, Red Bell Pepper,na,Bristol Farms, 1 Count
Fresh Vegetable,Melissa's,"[""Melissa's"", ' Veggie Sweets Peppers', ' 1 Pound']",$4.99, Veggie Sweets Peppers,na,Bristol Farms, 1 Pound
Fresh Vegetable,Onions Red Organic,"['Onions Red Organic', ' 1 Pound']",$1.98, 1 Pound,$1.49,Bristol Farms,na
Fresh Vegetable,Celery Stalks,"['Celery Stalks', ' 1 Count (bunch)']",$4.99, 1 Count (bunch),na,Bristol Farms,na
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Organic Wild Arugula', ' 5 Ounce']",$4.29, Organic Wild Arugula,na,Bristol Farms, 5 Ounce
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Onions Green Organic', ' 1 Count']",$1.49, Onions Green Organic,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Organic Kale', ' 1 Count']",$2.49, Organic Kale,na,Bristol Farms, 1 Count
Fresh Vegetable,Lettuce Butter Live Organic,"['Lettuce Butter Live Organic', ' 1 Count']",$3.49, 1 Count,na,Bristol Farms,na
Fresh Vegetable,Organic Leeks,"['Organic Leeks', ' 1 Each']",$2.99, 1 Each,na,Bristol Farms,na
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Organic Golden Beets', ' 1 Count']",$2.99, Organic Golden Beets,na,Bristol Farms, 1 Count
Fresh Vegetable,Eat Smart Petite Tray With Peas,"['Eat Smart Petite Tray With Peas', ' 22 Ounce']",$8.99, 22 Ounce,na,Bristol Farms,na
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Baby Red Potatoes Organic', ' 24 Ounce']",$6.49, Baby Red Potatoes Organic,na,Bristol Farms, 24 Ounce
Fresh Vegetable,Chard Rainbow Organic,"['Chard Rainbow Organic', ' 1 Count']",$2.49, 1 Count,na,Bristol Farms,na
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Lettuce Red Leaf Organic', ' 1 Count']",$2.49, Lettuce Red Leaf Organic,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Broccoli Organic', ' 1 Count']",$2.99, Broccoli Organic,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Corn White Organic', ' 1 Count']",$1.29, Corn White Organic,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Tomatoes Hot House Large', ' 1 Count']",$2.49, Tomatoes Hot House Large,na,Bristol Farms, 1 Count
Fresh Vegetable,Christo Ranch Crushed Garlic,"['Christo Ranch Crushed Garlic', ' 4.25 Ounce']",$2.99, 4.25 Ounce,na,Bristol Farms,na
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Lettuce Red Butter Organic', ' 1 Count']",$2.99, Lettuce Red Butter Organic,$2.69,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Eggplant', ' 1 Count']",$2.99, Eggplant,na,Bristol Farms, 1 Count
Fresh Vegetable,Exotic,"['Exotic', ' Brussels Sprout Baby Conventional', ' 8 Ounce']",$4.29, Brussels Sprout Baby Conventional,na,Bristol Farms, 8 Ounce
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Napa Cabbage', ' 1 Count']",$2.99, Napa Cabbage,na,Bristol Farms, 1 Count
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Organic Iceberg Lettuce', ' 1 Each']",$2.99, Organic Iceberg Lettuce,na,Bristol Farms, 1 Each
Fresh Vegetable,Bristol Farms,"['Bristol Farms', ' Bell Pepper Yellow', ' 1 Count']",$4.99, Bell Pepper Yellow,na,Bristol Farms, 1 Count
